"Site_Code","Site_Name","Category","Area","Long","Lat"
"P3040","Kings/Robertsons Road - SEC Easement","Park / Reserve",82811.52,144.780158,-37.689866
"P3044","Pintail/Sandpiper - SEC Easement","Neighbourhood Park",40734.48,144.790357,-37.697197
"P3042","Malibu Grove Easement","Park / Reserve",928.14,144.803579,-37.701581
"P3043","Neale/Station Road Easement (Icluding St","Park / Reserve",21989.63,144.772269,-37.75071
"P3058","Kororoit Crk.(Forrest St. to Western Hig","Park / Reserve",81744.08,144.809039,-37.779366
"P3017","SEC Easement -  Grantham Parade to Novar","Park / Reserve",26202.77,144.818737,-37.752125
"P0042","Copernicus Way Reserve","Suburban Park",22225.88,144.790784,-37.717735
"P0072","Delahey Recreation Reserve","Suburban Park",55470.00,144.774062,-37.716526
"P3072","Taylors Creek Linear Park Parmelia to Ki","Park / Reserve",37917.88,144.783212,-37.699908
"P3067","Kororoit Creek East Side Glengala to Der","Park / Reserve",7100.09,144.826418,-37.788897
"P3069","Kororoit Creek West Side Glengala Road t","Park / Reserve",6293.07,144.825786,-37.788947
"P3070","Kororoit Creek West Side Derby Street to","Park / Reserve",37621.91,144.825723,-37.792377
"P3062","Kororoit Creek - Learmonth to Wright","Park / Reserve",103526.42,144.821933,-37.801136
"P3076","Drainage Easement at Grassy Point Road b","Park / Reserve",4055.06,144.777394,-37.762563
"P3094","Rail land south of line at rear of Mckay","Park / Reserve",6991.68,144.828892,-37.783377
"P3095","Rail land north of line at rear of McKay","Park / Reserve",2223.43,144.828509,-37.782234
"P0219","Shearwater Meadow Reserve","Neighbourhood Park",35068.88,144.785615,-37.756225
"P0044","Solent Crescent Reserve","Neighbourhood Park",5395.48,144.786056,-37.708627
"P1667","Community Hub/Hannah Access Way","Park / Reserve",1119.96,144.752911,-37.701636
"P0172","Nancy Street Reserve","Neighbourhood Park",9139.24,144.794357,-37.784394
"P0101","More Park","Neighbourhood Park",98671.99,144.796041,-37.774835
"P0064","Eurora/Koroit Place Reserve","Local Park",10337.66,144.800882,-37.707584
"P0017","Biggs Street Reserve","Local Park",2328.35,144.813591,-37.738018
"P0014","Bellara Crescent Reserve","Neighbourhood Park",19823.96,144.820035,-37.730546
"P0032","Caprice Court Reserve","Neighbourhood Park",6714.68,144.792606,-37.719899
"P0056","Dickson/Pizzey Street Reserve","Local Park",1367.23,144.83863,-37.787791
"P0222","Capesthorne Drive Reserve","Neighbourhood Park",5485.53,144.760941,-37.79402
"P0223","Bothwell Green Reserve","Neighbourhood Park",11242.95,144.756346,-37.791754
"P3097","Maribynong/Overnewton Reserve","Park / Reserve",41257.35,144.825026,-37.703532
"P3004","Deer Park Urban Forest South (Tamar to R","Park / Reserve",30422.62,144.759105,-37.760059
"P3055","Kororoit Creek.- Billingham to Neale Roa","Park / Reserve",99308.82,144.758868,-37.755572
"P0225","St Albans Square","Local Park",1384.48,144.8005,-37.744707
"P3075","Creek Area (Next To Powder Mill) - Parkl","Park / Reserve",25140.82,144.777806,-37.764762
"P3006","Frost/ Goldsmith Easement","Neighbourhood Park",67944.78,144.774005,-37.721397
"P0144","Thea Court Reserve","Suburban Park",7482.48,144.858281,-37.719735
"P0140","Norm Talintyre Reserve","Neighbourhood Park",24946.73,144.812171,-37.799358
"P0086","Kings Park Reserve","Neighbourhood Park",65103.16,144.77656,-37.732197
"P3036","Gresham Way Reserve","Neighbourhood Park",53395.91,144.805801,-37.800362
"P1668","Empress/Harwood Reserve","Neighbourhood Park",1028.77,144.792947,-37.791379
"P0230","Hamel Street Reserves","Park / Reserve",799.55,144.822442,-37.780571
